,length,tweets
0,135,2009年3月公開の映画『ドラえもん 新・のび太の宇宙開拓史』で監督を務めた。奇しくも日本テレビ版ドラえもんで演出家として務め36年ぶりに同名作品の「ドラえもん」で活躍した。- 腰繁男 http://ja.wikipedia.org/wiki/%E8%85%B0%E7%B9%81%E7%94%B7
1,112,奇しくも同じ1989年に同名でまったく別の映画「ブラック・レイン」が公開されており、こちらは大阪を舞台にしたアメリカ合衆国の映画であり、松田優作の遺作である。- 黒い雨 (映画) http://ja.wikipedia.org/wiki/%E9%BB%92%E3%81%84%E9%9B%A8%20%28%E6%98%A0%E7%94%BB%29
2,75,奇しくも同年にシャルルもペドロ3世もマルティヌス4世も亡くなっている。- フィリップ3世 (フランス王) http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A3%E3%83%AA%E3%83%83%E3%83%973%E4%B8%96%20%28%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E7%8E%8B%29
3,97,奇しくも同年10月31日に同じく東映セントラル作品を支えた照明技師・井上幸男が死去した直後であったことから、映画界に大きな衝撃を与えた。- 渡辺三雄 http://ja.wikipedia.org/wiki/%E6%B8%A1%E8%BE%BA%E4%B8%89%E9%9B%84
4,139,渥美清の死去により『男はつらいよ』が制作不可能になったため、この年は公開時期が夏になり、併映は『さすらいのトラブルバスター』になった。単独上映になった劇場もある。奇しくも渥美清の死が全国に知らされた翌日に公開となった。- 釣りバカ日誌8 http://ja.wikipedia.org/wiki/%E9%87%A3%E3%82%8A%E3%83%90%E3%82%AB%E6%97%A5%E8%AA%8C8
5,119,趣味はマリンスポーツ。俳優の松平健に似た顔立ちから、現役時代には「角界の暴れん坊将軍」「角界のマツケン」と呼ばれた。奇しくも松平健とは同じ愛知県出身で、断髪式には松平健本人も登場した。- 旭豊勝照 http://ja.wikipedia.org/wiki/%E6%97%AD%E8%B1%8A%E5%8B%9D%E7%85%A7
6,124,同型一番艦の名称は「こんごう」であり、戦艦の金剛、霧島から二代続けて同規模の艦艇の名称として使われた。また奇しくも｢霧島｣と｢きりしま｣は三菱重工業長崎造船所|建造元が同じである。- きりしま (護衛艦) http://ja.wikipedia.org/wiki/%E3%81%8D%E3%82%8A%E3%81%97%E3%81%BE%20%28%E8%AD%B7%E8%A1%9B%E8%89%A6%29
7,119,1944年、連合国の攻撃（ノルマンディー上陸作戦）に巻き込まれ、焼死した。奇しくも牧場の火事で死亡した祖父・プリンスパラタインと同じ死に方であった。- プリンスローズ http://ja.wikipedia.org/wiki/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%B9%E3%83%AD%E3%83%BC%E3%82%BA
8,98,原作はチャールズ・ウィリアムズの『土曜を逃げろ』。トリュフォー監督の遺作となった（奇しくも監督が亡くなったのも日曜日であった）。- 日曜日が待ち遠しい! http://ja.wikipedia.org/wiki/%E6%97%A5%E6%9B%9C%E6%97%A5%E3%81%8C%E5%BE%85%E3%81%A1%E9%81%A0%E3%81%97%E3%81%84%21
9,93,この戦いはマレンゴの戦いとよく似た経過をたどった。奇しくも6月14日は、7年前のマレンゴの戦いの戦勝記念日でもあった。- フリートラントの戦い http://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AA%E3%83%BC%E3%83%88%E3%83%A9%E3%83%B3%E3%83%88%E3%81%AE%E6%88%A6%E3%81%84
10,99,事件後に、犯人はアルカーイダと判明した。事件発生日の日付9月11日は奇しくも1941年にペンタゴンが着工された日であった。- アメリカン航空77便テロ事件 http://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E8%88%AA%E7%A9%BA77%E4%BE%BF%E3%83%86%E3%83%AD%E4%BA%8B%E4%BB%B6
11,140,『モンクにハイライトをあげたのは、たぶん僕くらいだよね』と嬉しそうに水丸さんは電話で語っていた。なお、ハイライトのパッケージをデザインしたのは奇しくも和田誠本人である。- セロニアス・モンクのいた風景 http://ja.wikipedia.org/wiki/%E3%82%BB%E3%83%AD%E3%83%8B%E3%82%A2%E3%82%B9%E3%83%BB%E3%83%A2%E3%83%B3%E3%82%AF%E3%81%AE%E3%81%84%E3%81%9F%E9%A2%A8%E6%99%AF
12,53,奇しくも、6年後の同日に松田優作も癌で死去する。- 金子正次 http://ja.wikipedia.org/wiki/%E9%87%91%E5%AD%90%E6%AD%A3%E6%AC%A1
13,143,まず1719年に『ロビンソン・クルーソーの生涯と奇しくも驚くべき冒険』（The Life and Strange Surprising Adventures）として刊行された。- ロビンソン・クルーソー http://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%93%E3%83%B3%E3%82%BD%E3%83%B3%E3%83%BB%E3%82%AF%E3%83%AB%E3%83%BC%E3%82%BD%E3%83%BC
14,138,入省同期には伊藤祐一郎（鹿児島県知事）、梶田信一郎（元内閣法制局長官。梶田は鳩山・菅・野田の3内閣で内閣法制局長官を務めており、奇しくも鳩山・菅内閣下では内閣官房副長官、内閣法制局長官が同じ旧自治省の同期の間柄であった。- 瀧野欣彌 http://ja.wikipedia.org/wiki/%E7%80%A7%E9%87%8E%E6%AC%A3%E5%BD%8C
15,131,奇しくも、1949年に死去したジネット・ヌヴーと同じエールフランスの同じ機種による事故で命を落とすこととなってしまった（ティボー自身は、ヌヴーの訃報の際に「自分もかくありたい」と発言していた）。- ジャック・ティボー http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%83%86%E3%82%A3%E3%83%9C%E3%83%BC
16,114,21歳11か月でのヘビー級王座獲得の記録はマイク・タイソンに破られるまでの最年少記録であった。なお、この両ボクサーのトレーナーは奇しくも同じカス・ダマトである。- フロイド・パターソン http://ja.wikipedia.org/wiki/%E3%83%95%E3%83%AD%E3%82%A4%E3%83%89%E3%83%BB%E3%83%91%E3%82%BF%E3%83%BC%E3%82%BD%E3%83%B3
17,118,何度にも渡る取り調べを受けた後、1806年2月下旬に生まれ故郷に戻るも、1月ほどして4月1日に亡くなった。享年36。奇しくも、日本人として初めて世界一周をした4名のうちの1人となった。- 太十郎 http://ja.wikipedia.org/wiki/%E5%A4%AA%E5%8D%81%E9%83%8E
18,117,奇しくも、廃部・脱退になった４チームのうち日興証券ドリームレディース以外はすべて日興証券ドリームレディースに敗退し最後の公式戦を戦ったことになった。- 第20回全日本女子サッカー選手権大会 http://ja.wikipedia.org/wiki/%E7%AC%AC20%E5%9B%9E%E5%85%A8%E6%97%A5%E6%9C%AC%E5%A5%B3%E5%AD%90%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E9%81%B8%E6%89%8B%E6%A8%A9%E5%A4%A7%E4%BC%9A
19,90,そして、2008年度は最終局を待たずして8勝目を挙げB級2組への昇級を決めたが、その対局相手は奇しくも塚田泰明であった。- 安用寺孝功 http://ja.wikipedia.org/wiki/%E5%AE%89%E7%94%A8%E5%AF%BA%E5%AD%9D%E5%8A%9F
20,118,奇しくも、この記録が始まった「Successful mission」は『セイバーマリオネットJ』の主題歌であり、また発売日も同じ10月23日と同じであった。- Proof of Myself http://ja.wikipedia.org/wiki/Proof%20of%20Myself
21,70,2006年6月12日、急性心不全のため死去、奇しくもこの日は49歳の誕生日だった。- 青木智仁 http://ja.wikipedia.org/wiki/%E9%9D%92%E6%9C%A8%E6%99%BA%E4%BB%81
22,90,死の寸前、「呂光様を喜ばせてしまったな」と述べたとされている。ちなみにかつての主君・呂光も奇しくも同年のうちに死去している。- 禿髪烏孤 http://ja.wikipedia.org/wiki/%E7%A6%BF%E9%AB%AA%E7%83%8F%E5%AD%A4
